nm,W/nm
625.0000,7.54352e-001
626.0000,7.34306e-001
627.0000,7.13898e-001
628.0000,6.96815e-001
629.0000,6.77963e-001
630.0000,6.58142e-001
631.0000,6.42346e-001
632.0000,6.25218e-001
633.0000,6.10213e-001
634.0000,5.95741e-001
635.0000,5.81504e-001
636.0000,5.69248e-001
637.0000,5.56866e-001
638.0000,5.45894e-001
639.0000,5.33784e-001
640.0000,5.21802e-001
641.0000,5.10999e-001
642.0000,5.00195e-001
643.0000,4.90394e-001
644.0000,4.81532e-001
645.0000,4.71229e-001
646.0000,4.62879e-001
647.0000,4.52315e-001
648.0000,4.41650e-001
649.0000,4.31032e-001
650.0000,4.22757e-001
651.0000,4.16718e-001
652.0000,4.12418e-001
653.0000,4.08742e-001
654.0000,4.04702e-001
655.0000,4.00445e-001
656.0000,3.93116e-001
657.0000,3.84692e-001
658.0000,3.74549e-001
659.0000,3.65475e-001
660.0000,3.56516e-001
661.0000,3.50042e-001
662.0000,3.44396e-001
663.0000,3.42547e-001
664.0000,3.41709e-001
665.0000,3.42251e-001
666.0000,3.42978e-001
667.0000,3.44770e-001
668.0000,3.44965e-001
669.0000,3.44815e-001
670.0000,3.43368e-001
671.0000,3.37941e-001
672.0000,3.32728e-001
673.0000,3.25054e-001
674.0000,3.16545e-001
675.0000,3.07734e-001
676.0000,2.97361e-001
677.0000,2.86960e-001
678.0000,2.77506e-001
679.0000,2.67183e-001
680.0000,2.57690e-001
681.0000,2.48185e-001
682.0000,2.40787e-001
683.0000,2.33187e-001
684.0000,2.26832e-001
685.0000,2.20995e-001
686.0000,2.15515e-001
687.0000,2.11561e-001
688.0000,2.07677e-001
689.0000,2.04013e-001
690.0000,2.01072e-001
691.0000,1.99269e-001
692.0000,1.96180e-001
693.0000,1.93058e-001
694.0000,1.90254e-001
695.0000,1.86963e-001
696.0000,1.84310e-001
697.0000,1.81825e-001
698.0000,1.78348e-001
699.0000,1.75275e-001
700.0000,1.72816e-001
701.0000,1.70718e-001
702.0000,1.67854e-001
703.0000,1.65061e-001
704.0000,1.62754e-001
705.0000,1.60655e-001
706.0000,1.58297e-001
707.0000,1.55901e-001
708.0000,1.54090e-001
709.0000,1.51838e-001
710.0000,1.49648e-001
711.0000,1.47904e-001
712.0000,1.46295e-001
713.0000,1.44201e-001
714.0000,1.42890e-001
715.0000,1.41122e-001
716.0000,1.39426e-001
717.0000,1.37857e-001
718.0000,1.36552e-001
719.0000,1.35102e-001
720.0000,1.33489e-001
721.0000,1.31463e-001
722.0000,1.30497e-001
723.0000,1.28813e-001
724.0000,1.27204e-001
725.0000,1.25834e-001
726.0000,1.23536e-001
727.0000,1.22357e-001
728.0000,1.20891e-001
729.0000,1.18731e-001
730.0000,1.17383e-001
731.0000,1.15829e-001
732.0000,1.14099e-001
733.0000,1.12849e-001
734.0000,1.12400e-001
735.0000,1.10925e-001
736.0000,1.09523e-001
737.0000,1.07590e-001
738.0000,1.06004e-001
739.0000,1.04134e-001
740.0000,1.02186e-001
741.0000,1.00432e-001
742.0000,9.87014e-002
743.0000,9.74833e-002
744.0000,9.65268e-002
745.0000,9.63389e-002
746.0000,9.60098e-002
747.0000,9.66728e-002
748.0000,9.86580e-002
749.0000,1.00208e-001
750.0000,1.00393e-001
751.0000,9.80048e-002
752.0000,9.40679e-002
753.0000,9.01273e-002
754.0000,8.78554e-002
755.0000,8.59765e-002
756.0000,8.50602e-002
757.0000,8.43509e-002
758.0000,8.54987e-002
759.0000,9.30107e-002
760.0000,1.13652e-001
761.0000,1.48503e-001
762.0000,2.14254e-001
763.0000,3.73193e-001
764.0000,5.51777e-001
765.0000,6.31508e-001
766.0000,6.47306e-001
767.0000,6.11923e-001
768.0000,5.49966e-001
769.0000,4.72421e-001
770.0000,3.29533e-001
