T,u,v
7171.86339754,0.19742345,0.30599110
7243.58203151,0.19714539,0.30556182
7316.01785183,0.19687207,0.30513540
7389.17803035,0.19660342,0.30471189
7463.06981065,0.19633936,0.30429130
7537.70050876,0.19607982,0.30387366
7613.07751385,0.19582472,0.30345899
7689.20828898,0.19557400,0.30304731
7766.10037187,0.19532758,0.30263865
7843.76137559,0.19508539,0.30223302
7922.19898935,0.19484736,0.30183044
8001.42097924,0.19461342,0.30143092
8081.43518903,0.19438351,0.30103449
8162.24954093,0.19415755,0.30064115
8243.87203633,0.19393549,0.30025092
8326.31075670,0.19371725,0.29986380
8409.57386426,0.19350277,0.29947982
8493.66960291,0.19329199,0.29909897
8578.60629894,0.19308485,0.29872126
8664.39236193,0.19288127,0.29834671
8751.03628554,0.19268121,0.29797531
8838.54664840,0.19248460,0.29760707
8926.93211488,0.19229138,0.29724199
9016.20143603,0.19210150,0.29688008
9106.36345039,0.19191488,0.29652134
9197.42708490,0.19173149,0.29616576
9289.40135575,0.19155126,0.29581335
9382.29536930,0.19137413,0.29546411
9476.11832300,0.19120006,0.29511802
9570.87950623,0.19102899,0.29477509
9666.58830129,0.19086086,0.29443532
9763.25418430,0.19069562,0.29409869
9860.88672615,0.19053323,0.29376521
9959.49559341,0.19037362,0.29343486
10059.09054934,0.19021676,0.29310763
10159.68145483,0.19006259,0.29278353
10261.27826938,0.18991107,0.29246253
10363.89105208,0.18976214,0.29214463
10467.52996260,0.18961577,0.29182983
10572.20526222,0.18947190,0.29151810
10677.92731485,0.18933049,0.29120943
10784.70658799,0.18919149,0.29090382
10892.55365387,0.18905487,0.29060125
11001.47919041,0.18892057,0.29030170
11111.49398232,0.18878856,0.29000517
11222.60892214,0.18865880,0.28971164
11334.83501136,0.18853124,0.28942108
11448.18336147,0.18840585,0.28913350
11562.66519509,0.18828258,0.28884886
11678.29184704,0.18816139,0.28856716
11795.07476551,0.18804226,0.28828838
11913.02551317,0.18792513,0.28801249
12032.15576830,0.18780998,0.28773949
12152.47732598,0.18769677,0.28746935
12274.00209924,0.18758545,0.28720205
12396.74212023,0.18747601,0.28693758
12520.70954143,0.18736840,0.28667592
12645.91663685,0.18726259,0.28641705
12772.37580322,0.18715855,0.28616094
12900.09956125,0.18705624,0.28590759
13029.10055686,0.18695563,0.28565696
13159.39156243,0.18685669,0.28540903
13290.98547806,0.18675940,0.28516380
13423.89533284,0.18666372,0.28492123
13558.13428616,0.18656961,0.28468130
13693.71562903,0.18647706,0.28444400
13830.65278532,0.18638604,0.28420930
13968.95931317,0.18629650,0.28397719
14108.64890630,0.18620844,0.28374763
14249.73539536,0.18612182,0.28352061
14392.23274932,0.18603661,0.28329610
14536.15507681,0.18595280,0.28307410
14681.51662758,0.18587034,0.28285456
14828.33179385,0.18578923,0.28263747
